,accuracy,f1,roc_auc
amoxicillin/clavulanic acid,0.6727066817667045,0.4875886524822695,0.8677747093681274
ampicillin,0.7553793884484711,0.7913043478260869,0.8478643394352207
cefotaxime,0.8544733861834655,0.6146926536731634,0.8948705883543432
ceftazidime,0.812004530011325,0.4923547400611621,0.8881301224449492
cefuroxime,0.6715741789354474,0.2944038929440389,0.8707370985203897
ciprofloxacin,0.8086070215175538,0.6078886310904872,0.848049126832617
gentamicin,0.7695356738391846,0.380517503805175,0.8076319779702669
piperacillin/tazobactam,0.6908267270668177,0.19941348973607037,0.8699999249660471
trimethoprim/sulfamethoxazole,0.6993204983012458,0.5087881591119334,0.8873833418866777
macro_avg,0.748269787341135,0.4863280078589318,0.8647156921976265
