,accuracy,f1,roc_auc
amoxicillin/clavulanic acid,0.8708946772366931,0.4672897196261682,0.8856100495784027
ampicillin,0.7921857304643262,0.8258186995728524,0.8661192169513894
cefotaxime,0.9082672706681767,0.5263157894736842,0.8978095164767479
ceftazidime,0.920158550396376,0.5377049180327869,0.8827562494943775
cefuroxime,0.9473386183465459,0.3673469387755102,0.87342149974744
ciprofloxacin,0.8522083805209513,0.5460869565217391,0.8597528220803196
gentamicin,0.9161947904869762,0.3508771929824561,0.8276932746700189
piperacillin/tazobactam,0.9699886749716874,0.6394557823129252,0.8791120563766035
trimethoprim/sulfamethoxazole,0.8725934314835787,0.5243128964059197,0.8789128940035464
macro_avg,0.8944255693972567,0.5316898770782268,0.8723541754865384
